예약일	버스코드	버스번호	좌석	회원아이디	가격	발권상태
2020-11-27	A007	1호차	11	user01	17000	○
2020-11-27	A004	1호차	19	user03	23000	○
2020-11-27	A006	1호차	4	비회원	17000	○
2020-11-27	A003	2호차	8	user04	23000	○
2020-11-27	A008	2호차	7	user09	17000	○
2020-11-28	A008	2호차	14	user10	17000	○
2020-11-28	A003	2호차	8	비회원	23000	○
2020-11-28	A007	2호차	19	user05	17000	○
2020-11-28	A006	1호차	19	비회원	17000	○
2020-11-28	A003	2호차	12	user08	23000	○
2020-11-28	A002	1호차	10	비회원	23000	○
2020-11-29	A007	2호차	14	user07	17000	○
2020-11-28	A004	2호차	17	user01	23000	○
2020-11-29	A005	2호차	17	user03	23000	○
2020-11-28	A004	2호차	14	비회원	23000	○
2020-11-29	A003	1호차	20	user04	23000	○
2020-11-28	A009	1호차	16	user09	17000	○
2020-11-29	A004	2호차	5	user10	23000	○
2020-11-28	A007	1호차	4	비회원	17000	○
2020-11-29	A007	2호차	6	user05	17000	○
2020-11-28	A003	1호차	6	비회원	23000	○
2020-11-29	A008	1호차	15	user08	17000	○
2020-11-28	A003	2호차	15	비회원	23000	○
2020-11-29	A005	1호차	18	user07	23000	○
2020-11-28	A007	2호차	10	user02	17000	○
2020-11-29	A004	2호차	13	user01	23000	○
2020-11-30	A006	2호차	6	user03	17000	○
2020-11-30	A004	2호차	19	비회원	23000	Ⅹ
2020-11-30	A006	2호차	8	user04	17000	Ⅹ
2020-11-30	A001	2호차	4	user09	23000	Ⅹ
2020-11-30	A006	2호차	9	user10	17000	Ⅹ
2020-11-30	A005	2호차	14	비회원	23000	Ⅹ
2020-11-30	A002	2호차	14	user05	23000	Ⅹ
2020-11-30	A004	1호차	19	비회원	23000	Ⅹ
2020-12-01	A008	2호차	9	user08	17000	Ⅹ
2020-12-01	A008	1호차	20	비회원	17000	Ⅹ
2020-12-01	A007	1호차	18	user07	17000	Ⅹ
2020-12-01	A005	1호차	8	user01	23000	Ⅹ
2020-12-01	A009	2호차	20	user03	17000	Ⅹ
2020-12-01	A008	2호차	3	비회원	17000	Ⅹ
2020-12-01	A008	1호차	13	user04	17000	Ⅹ
2020-12-01	A009	1호차	14	user09	17000	Ⅹ
2020-12-01	A007	2호차	11	user10	17000	Ⅹ
2020-12-01	A007	2호차	9	비회원	17000	Ⅹ
2020-12-01	A008	2호차	20	user05	17000	Ⅹ
2020-12-01	A001	2호차	7	비회원	23000	Ⅹ
2020-12-02	A003	1호차	20	user08	23000	Ⅹ
2020-12-02	A005	1호차	3	비회원	23000	Ⅹ
2020-12-02	A008	2호차	16	user07	17000	Ⅹ
2020-12-02	A001	1호차	14	user02	23000	Ⅹ
2020-12-03	A002	1호차	7	비회원	23000	Ⅹ
2020-12-03	A006	2호차	5	user06	17000	Ⅹ
2020-12-03	A006	2호차	11	user01	17000	Ⅹ
2020-12-03	A001	2호차	14	user01	23000	Ⅹ
2020-12-03	A009	2호차	9	user02	17000	Ⅹ
2020-12-04	A007	1호차	6	비회원	17000	Ⅹ
2020-12-04	A006	2호차	10	user06	17000	Ⅹ
2020-12-04	A007	2호차	11	user01	17000	Ⅹ
2020-12-04	A004	2호차	4	user01	23000	Ⅹ
2020-12-04	A002	1호차	19	user10	23000	Ⅹ
2020-12-04	A001	2호차	6	user12	23000	Ⅹ
2020-12-04	A003	2호차	4	비회원	23000	Ⅹ
2020-12-04	A004	2호차	13	user14	23000	Ⅹ
2020-12-04	A005	1호차	18	user15	23000	Ⅹ
2020-12-04	A009	2호차	20	user15	17000	Ⅹ
2020-12-05	A009	2호차	18	user14	17000	Ⅹ
2020-12-05	A003	1호차	7	user02	23000	Ⅹ
2020-12-05	A003	2호차	9	user03	23000	Ⅹ
2020-12-05	A005	1호차	11	비회원	23000	Ⅹ
2020-12-05	A001	1호차	11	비회원	23000	Ⅹ
2020-12-05	A009	2호차	18	비회원	17000	Ⅹ
2020-12-06	A003	2호차	19	비회원	23000	Ⅹ
2020-12-06	A003	2호차	16	비회원	23000	Ⅹ
2020-12-06	A003	1호차	6	user07	23000	Ⅹ
2020-12-06	A002	2호차	2	user02	23000	Ⅹ
2020-12-06	A001	2호차	9	비회원	23000	Ⅹ
2020-12-06	A006	2호차	2	user06	17000	Ⅹ
2020-12-06	A001	1호차	5	user01	23000	Ⅹ
2020-12-06	A005	2호차	7	user01	23000	Ⅹ
2020-12-07	A002	2호차	2	user02	23000	Ⅹ
2020-12-07	A008	2호차	8	비회원	17000	Ⅹ
2020-12-07	A006	1호차	9	user06	17000	Ⅹ
2020-12-07	A008	1호차	16	user01	17000	Ⅹ
2020-12-07	A001	2호차	3	user01	23000	Ⅹ
2020-12-07	A008	1호차	11	user10	17000	Ⅹ
2020-12-07	A004	2호차	20	user12	23000	Ⅹ
2020-12-07	A004	2호차	19	비회원	23000	Ⅹ
2020-12-07	A001	2호차	15	user14	23000	Ⅹ
2020-12-08	A001	2호차	19	user15	17000	Ⅹ
2020-12-08	A001	1호차	8	user15	23000	Ⅹ
2020-12-08	A001	1호차	16	user14	23000	Ⅹ
2020-12-08	A001	2호차	7	user02	23000	Ⅹ
2020-12-08	A001	1호차	17	user03	23000	Ⅹ
2020-12-08	A005	2호차	8	비회원	23000	Ⅹ
2020-12-08	A001	1호차	2	비회원	17000	Ⅹ
2020-12-08	A009	1호차	3	user02	17000	Ⅹ
2020-12-08	A002	2호차	9	user03	23000	Ⅹ
2020-12-08	A003	2호차	15	비회원	23000	Ⅹ
2020-12-08	A008	1호차	2	비회원	17000	Ⅹ
2020-12-07	A008	2호차	19	비회원	17000	Ⅹ
2020-12-07	A003	2호차	1	비회원	23000	Ⅹ
2020-12-07	A003	2호차	12	비회원	23000	Ⅹ
2020-12-08	A002	2호차	9	비회원	23000	Ⅹ
