예약번호	예식장번호	인원수	형태번호	식사종류	앨범	청첩장	드레스	날짜	결제여부
10055	3	100	2	2	1	2	0	2020-12-24	1
10431	13	100	9	3	0	1	0	2021-01-28	1
10479	6	110	5	1	1	0	0	2020-11-23	1
10767	5	360	9	1	1	2	0	2021-02-19	0
10890	32	340	10	2	0	0	0	2021-04-15	0
10905	10	100	9	1	0	2	0	2020-12-25	1
10925	33	360	5	2	1	0	0	2020-10-25	0
11055	11	110	7	3	0	2	1	2021-02-15	1
11134	4	350	2	2	0	3	1	2020-10-08	0
11182	10	100	9	1	1	3	0	2021-02-12	1
11433	27	220	6	2	1	3	0	2021-01-01	1
11598	30	280	3	2	1	3	1	2020-09-29	1
11602	32	200	10	2	1	3	0	2020-11-08	1
12008	23	150	6	1	0	3	0	2021-04-26	0
12050	34	120	3	2	0	2	0	2020-10-25	1
12084	39	100	1	1	1	0	1	2020-10-30	1
12127	26	160	2	3	1	3	1	2020-11-17	0
12169	5	190	9	1	1	1	0	2020-10-08	1
12806	10	100	9	1	1	1	1	2020-11-02	1
12807	37	240	2	2	1	3	1	2020-09-14	0
13047	39	100	1	1	1	0	1	2021-02-11	0
13101	38	180	7	3	1	0	1	2021-02-05	1
13129	6	290	5	1	0	3	0	2021-04-09	1
13221	5	170	9	1	1	1	1	2020-12-01	1
13226	35	190	7	3	1	1	1	2021-01-23	0
13283	38	340	7	3	0	1	1	2021-02-17	1
13378	42	300	3	1	0	3	1	2020-11-04	1
13482	3	100	2	2	0	2	1	2021-01-03	1
13579	19	170	5	2	1	3	0	2021-04-10	1
13648	35	290	7	3	1	1	0	2020-11-21	1
13740	27	440	6	2	1	1	0	2021-01-29	1
13981	9	130	5	1	0	3	1	2020-10-15	1
14029	9	110	5	1	1	1	0	2021-03-04	1
14145	18	140	8	2	1	0	0	2020-09-20	0
14167	12	100	8	3	1	3	0	2020-10-29	1
14173	17	320	3	2	1	2	0	2020-10-27	0
14444	37	250	2	2	0	2	0	2020-12-19	1
14536	15	210	9	3	0	3	0	2020-12-12	1
14574	4	230	2	2	1	3	0	2020-11-24	1
14602	31	110	9	1	0	3	1	2020-11-27	1
14812	20	350	8	3	0	0	1	2020-09-30	0
14813	6	100	5	1	0	1	0	2020-12-23	1
14833	22	140	5	3	1	2	1	2021-02-20	1
15021	29	150	9	2	1	3	1	2020-10-29	1
15052	32	180	10	2	1	1	0	2020-12-03	0
15158	42	300	3	1	0	3	1	2021-04-26	1
15294	32	220	10	2	1	3	0	2020-12-16	1
15480	15	300	9	3	1	1	0	2020-12-29	0
16118	28	150	3	1	0	3	0	2021-01-06	0
