c_no	c_title	c_content	m_no	anonymous	classification
1	다중이용시설 관련 안내	이런 시설들은 코로나 막으려면 당분간 폐쇄해야되는거 아닌가요? 말로만 가지말라고하면 누가 안가나…..	6	1	1
2	축제 안내	축제때 다른학교 못오게하는거 실화임? 진짜 레전드네	7	2	1
3	2학년 6반 제발 조용히좀해라	실습때마다 너무 시끄러움 학교에 자기들만있는거도 아니고 조용히좀 하자;;	8	2	2
4	급식 개선좀	솔직히 급식 너무 맛없는거 아님? 개선좀 해주세요	2	2	2
5	청소년 인터넷스마트폰 이용습관 진단조사	이런거 통신문줘도 보는학생도 없는데 이런쓸데없는통신문좀 그만줬으면 좋겠다;;	4	2	1
6	원격수업 수강 안내	온라인수업 솔직히 너무 진행이 힘들어요 수업에 집중도안되고 이런식으로 수업하고 중간고사를 어떻게 보라는거임?	10	1	1
7	ㅇㅇ선생님 수행평가	다들 ㅇㅇ선생님 수행평가 어떻게 보셨나요? 저만 망한거같은데 다들 몇점맞으셨는지 알려주세요	3	2	2
8	담배좀 그만피자	얼마나 담배를 폈으면 주변 아파트에서 민원이 들어옴? 적당히 피자	5	1	2
9	학부모 상담주간 안내 	저희 부모님이 상담할 시간이 안나시는데 어떻할까요?	1	1	1
10	e-알리미 서비스 가입 안내	분명히 저번에 가입했었는데 왜 가입되지않은 회원이라고 뜨는거죠?	9	1	1
