n_no	n_title	n_content	n_date
1	흡연예방 안내	최근 증가하고 있는 청소년 시기의 흡연은 신체적, 정신적 피해는 물론 약물 중독 및 청소년 비행으로 이어지기 쉽습니다. 호기심으로 인한 한두 번쯤의 흡연을 조기에 막지 못하면 청소년 흡연으로 이어질 수 있습니다. 아래 내용을 살펴보신 후 가족과 이웃의 건강을 위한 금연 생활 및 소중한 아이들이 흡연 환경에 노출되지 않도록 각별한 관심을 가져주시기를 부탁드립니다.	2020-07-15
2	블루리본 주간 운영	우리학교에서는 ‘담배연기 없는 건강한 학교’를 만들기 위해 학생 중심으로 시작하여 교직원, 학부모 나아가 지역사회까지 참여하는 학교흡연예방을 위한 캠페인 ‘블루리본 주간 (Blue Ribbon Week)’을 다음과 같이 운영 하고자 합니다. 참가한 학생들에게는 소정의 상품이 증정되고 학생 및 교직원 전체가 참여하는 캠페인 입니다.	2020-07-16
3	1학기 중간고사 시간표안내	코로나19상황으로 학교에서 등교격주제를 실시하고 있어 학년별 고사시간이 다른 점 양해부탁드립니다. 어려운 상황에도 시험을 잘 치를 수 있도록 관심 부탁드립니다. 해당학년 시험이 아닐 시 수업이 진행됩니다. 	2020-08-21
4	교실혁명프로젝트 학부모 연수 안내	우리교육지원청은 관내 초･중･고 학부모님을 대상으로「교실혁명프로젝트 2015개정 교육과정 학부모 연수」를 다음과 같이 실시합니다. 이번 연수를 통하여 학생들의 미래역량 함양을 위한 비전을 공유하고, 2015개정 교육과정에 대한 학부모님의 이해를 높여 미래지향적인 자녀교육에 도움을 드리고자 하오니 많이 참석하여 주시기 바랍니다. 	2020-07-18
5	축제 안내	 뜨거운 햇볕이 가시지 않는 7월, 청명한 하늘이 눈부신 여름입니다. 서울로봇고학생들이 ‘바캉스’라는 주제로 축제를 준비하였습니다. 뜨거운 여름, 학생들의 열정으로 꿈과 미래를 위해 그동안 갈고 닦은 솜씨를 모아 특별한 행사를 준비하였습니다. 바쁘시더라도 교사, 학생, 학부모 모두가 함께 어울릴 수 있는 즐거운 축제의 장이 될 수 있도록 참석하여 자리를 빛내 주시길 부탁드립니다.	2020-07-19
6	원격수업 수강 안내	코로나19 감염으로 인한 휴업의 장기화로 각 가정에서는 자녀의 건강뿐만 아니라 학습 공백에 대한 염려가 있으시리라 생각됩니다. 우리학교는 다음과 같이 원격수업을 실시합니다. 학부모님께서는 자녀들이 원격수업에 잘 참여할 수 있도록 안내와 지도를 당부드리며, 아울러 온라인 환경에 접속할 때 타인에 대한 배려 등 바른 사이버 예절을 지키고, 건강 또한 잘 챙길 수 있도록 부탁드립니다. <원격수업 개시 일정> 1. 3학년: 4.9.부터 시작 2. 1,2학년: 4.16.부터 시작 	2020-04-08
7	청소년 인터넷스마트폰 이용습관 진단조사	본교에서는 7월 6일부터 10일까지 청소년 스스로 자신의 미디어이용습관을 점검해볼 수 있도록 청소년 인터넷·스마트폰 이용습관 진단조사를 실시할 예정입니다. 학생의 응답 내용은 비밀이 보장되며, 응답으로 인한 불이익은 전혀 없습니다. 또한 응답 결과에 따라 추후 지속적인 지원이 필요할 경우, 부모님(보호자)의 동의하에 가정 및 지역 내 전문기관과 연계하여 서비스를 제공받으실 수 있습니다.  특히 올해 실시되는 진단조사는 온라인 교육으로 증가된 미디어 사용 시간을 고려하여, 온라인 교육 목적을 제외한, 평소 자신의 미디어 이용 습관을 점검해볼 수 있도록 안내할 예정입니다. 20년 청소년 인터넷·스마트폰 이용 습관 진단조사 시행과 관련하여 학부모님들의 이해를 돕고자 검사 및 지원 내용을 안내드리니 참고하셔서 적극적인 참여와 협조를 부탁드립니다.	2020-06-26
8	학부모 학교폭력 연수 안내	학교 교육에 관심을 가지고 협조해 주시는 학부모님께 늘 감사를 드립니다. 코로나 19로 인해 방문 상담을 최소한으로 하고, 코로나19 감영 예방을 위해 학부모 연수를 부득이 가정통신문과 학교홈페이즈를 통하여 실시합니다. 이 연수는 법적으로 실시하도록 정해져 있으며, 실제 학교 현장에서 발생할 수 있는 사고를 미리 예방하기 위하여 진행하게 됩니다. 	2020-07-10
9	다중이용시설 관련 안내	사회적 거리 두기가 생활속 거리 두기로 전환되기까지 온 국민이 코로나19감염 예방에 힘써 왔으나, 최근 다중이용시설 방문으로 인해 코로나19확진자가 증가한 사례가 발생하여 학부모님의 염려가 크실 것이라 생각됩니다. 따라서 가정에서 자녀들이 PC방, 노래방, 공연장, 체육시설, 쇼핑센터 등 다중이용시설 방문이용을 최대한 자제하도록 지도해 주셨으면 합니다. 외출 시에는 마스크 상시 착용, 귀가 후 에는 손씻기와 건강 상태 확인 등을 지도하여 주십시오. 아울러 의심 증상이 있을 때에는 코로나19 관련 행동 수칙에 따라주시길 바랍니다. 	2020-06-29
10	학부모 상담주간 안내 	학생에 대한 학부모님과 교사와의 소통을 강화하고 학부모님의 학교교육에 대한 이해를 돕고자 학부모 상담주간을 운영하려고 합니다. 평소 자녀의 학교생활과 학업, 진로, 적성, 인성, 기타 궁금하신 점에 대해 상담하길 원하시는 학부모님께서는 전문상담교사, 진로상담교사, 담임교사, 과장교사 등 상담을 희망하는 선생니께 신청하여 주시길 바랍니다. 	2020-08-20
