serial	user	seller	product	price	quantity	shipping
1	15	7	1	2100000	10	1
2	8	3	28	5130540	9	0
3	10	1	132	464000	10	1
4	15	4	21	1552630	1	0
5	4	7	46	1066100	7	0
6	4	7	89	764000	4	1
7	2	2	1	840000	4	0
8	4	5	29	2346000	3	0
9	16	6	34	133800	1	1
10	6	8	67	1666000	10	1
11	9	7	78	297800	1	1
12	14	2	4	381000	3	1
13	5	3	33	351200	4	1
14	9	4	66	180400	2	0
15	15	4	100	774000	6	1
16	16	1	148	1070000	5	1
17	13	1	89	1337000	7	0
18	15	6	126	832200	10	1
19	7	6	138	702000	9	0
20	12	1	114	151200	3	1
21	11	6	80	461000	1	0
22	14	7	49	522000	9	1
23	8	3	138	702000	9	0
24	6	1	139	439200	9	0
25	1	3	13	5447910	3	0
26	13	9	43	802400	8	1
27	2	9	95	363000	5	0
28	10	1	115	233600	8	1
29	8	8	26	2746500	5	0
30	1	3	37	310500	3	1
31	4	2	10	5605000	10	1
32	3	8	89	191000	1	1
33	14	2	13	3631940	2	1
34	13	6	58	192300	3	1
35	12	7	102	245000	7	0
36	4	3	14	3681000	3	0
37	12	9	101	260700	3	1
38	16	9	75	1927500	3	0
39	2	1	111	340000	10	1
40	6	2	16	2430000	9	0
41	3	1	85	4751100	9	0
42	1	4	107	705200	5	1
43	12	3	7	722400	7	1
44	11	7	126	748980	9	1
45	10	1	22	3360000	8	0
46	1	8	149	294000	7	0
47	2	7	136	2992880	8	0
48	9	5	11	1664400	4	0
49	12	6	3	2364000	5	1
50	6	3	40	588000	4	1
51	11	6	123	283500	9	0
52	4	1	128	108800	8	0
53	4	1	51	390000	6	1
54	14	8	137	268000	5	0
55	9	4	48	544000	2	0
56	8	6	150	342000	9	0
57	3	3	44	118000	1	1
58	2	9	14	11043000	9	0
59	9	9	81	4446000	10	0
60	7	2	14	8589000	7	1
61	16	2	4	127000	1	0
62	13	3	50	776800	8	1
63	3	9	29	3910000	5	0
64	8	4	85	527900	1	1
65	15	1	48	816000	3	0
66	2	4	106	352000	8	0
67	2	8	93	495200	4	1
68	16	8	8	820000	10	1
69	13	8	42	1047600	9	0
70	1	9	141	505400	7	0
71	12	8	122	364500	9	1
72	1	3	75	2570000	4	1
73	3	3	22	2100000	5	1
74	1	3	94	3203100	9	1
75	11	9	3	1891200	4	1
76	6	3	51	650000	10	0
77	8	3	3	2364000	5	1
78	16	7	132	139200	3	1
79	6	6	75	5140000	8	0
80	14	8	88	1008000	6	1
