serial	name	descrption	date	category	thumb	info
1	인텔 코어i5-10세대 10400 (코멧레이크S) (정품)	인텔(소켓1200) / 코멧레이크S / 헥사(6)코어 / 쓰레드 12개 / 기본 클럭: 2.9GHz / 12MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 인텔 UHD 630 / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 182달러(VAT별도)	2020-05-01	1	3	4
2	AMD 라이젠5-3세대 3600 (마티스) (정품)	AMD(소켓AM4) / 마티스 / 헥사(6)코어 / 7nm  / 쓰레드 12개 / 기본 클럭: 3.6GHz / 3MB / 32MB / 설계전력: 65W / PCIe 4.0 / 메모리 규격: DDR4 / 메모리 버스: 3200MHz / Wraith Stealth 쿨러 포함 / 출시가: 199달러(VAT별도)	2019-07-01	1	5	6
3	인텔 코어i7-10세대 10700K (코멧레이크S) (정품) 	인텔(소켓1200) / 코멧레이크S / 옥타(8)코어 / 쓰레드 16개 / 기본 클럭: 3.8GHz / 16MB / 64비트 / 설계전력: 125W / 메모리 규격: DDR4 / 메모리 버스: 2933MHz / 인텔 UHD 630 / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 374~387달러(VAT별도)	2020-05-01	1	7	8
4	AMD 라이젠3-3세대 3100 (마티스) (정품) 	AMD(소켓AM4) / 마티스 / 쿼드(4)코어 / 3세대 (Zen 2) / 7nm  / 쓰레드 8개 / 기본 클럭: 3.6GHz / 2MB / 16MB / 설계전력: 65W / PCIe 4.0 / 메모리 규격: DDR4 / 메모리 버스: 3200MHz / 기술 지원: XFR, SENSEMI / Wraith STEALTH 쿨러 포함 / 출시가: 99달러(VAT별도)	2020-05-01	1	9	10
5	AMD 라이젠7-3세대 3700X (마티스) 	AMD(소켓AM4) / 마티스 / 옥타(8)코어 / 3세대 (Zen 2) / 7nm /  쓰레드 16개 / 기본 클럭: 3.6GHz / 4MB / 32MB / 설계전력: 65W / PCIe 4.0 / 메모리 규격: DDR4 / 메모리 버스: 3200MHz / Wraith Prism 쿨러 포함 / 출시가: 329달러(VAT별도)	2019-07-01	1	11	12
6	인텔 코어i5-9세대 9400F (커피레이크-R)	인텔(소켓1151v2) / 커피레이크-R / 헥사(6)코어 / 쓰레드 6개 / 기본 클럭: 2.9GHz / 9MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 기술 지원: 옵테인 / 출시가: 155~157달러(VAT별도)	2019-01-01	1	13	14
7	AMD 라이젠3-2세대 3200G (피카소) 	AMD(소켓AM4) / 피카소 / 쿼드(4)코어 / 쓰레드 4개 / 기본 클럭: 3.6GHz / 2MB / 4MB / 설계전력: 65W / PCIe 3.0 / 메모리 규격: DDR4 / 메모리 버스: 2933MHz / AMD 라데온 Vega 8 / Wraith Stealth 쿨러 포함 / 출시가: 99달러(VAT별도)	2019-07-01	1	15	16
8	인텔 코어i3-9세대 9100F (커피레이크-R) 	인텔(소켓1151v2) / 커피레이크-R / 쿼드(4)코어 / 쓰레드 4개 / 기본 클럭: 3.6GHz / 6MB / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2400MHz / 기술 지원: 옵테인 / 출시가: 95~97달러(VAT별도)	2019-05-01	1	17	18
9	인텔 코어i5-10세대 10400 (코멧레이크S) 	인텔(소켓1200) / 코멧레이크S / 헥사(6)코어 / 쓰레드 12개 / 기본 클럭: 2.9GHz / 12MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 인텔 UHD 630 / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 182달러(VAT별도)	2020-05-01	1	19	20
10	AMD 라이젠9-3세대 3900X (마티스) 	AMD(소켓AM4) / 마티스 / 12코어 / 7nm / 쓰레드 24개 / 기본 클럭: 3.8GHz / 6MB / 64MB / 설계전력: 105W / PCIe 4.0 / 메모리 규격: DDR4 / 메모리 버스: 3200MHz / Wraith Prism 쿨러 포함 / 출시가: 499달러(VAT별도)	2019-07-01	1	21	22
11	인텔 코어i7-10세대 10700 (코멧레이크S) 	인텔(소켓1200) / 코멧레이크S / 옥타(8)코어 / 쓰레드 16개 / 기본 클럭: 2.9GHz / 16MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2933MHz / 인텔 UHD 630 / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 323달러(VAT별도)	2020-05-01	1	23	24
12	인텔 코어i5-9세대 9600KF (커피레이크-R) 	인텔(소켓1151v2) / 코멧레이크-R / 헥사(6)코어 / 쓰레드 6개 / 기본 클럭: 3.7GHz / 9MB / 64비트 / 설계전력: 95W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 기술 지원: 옵테인 / 출시가: 237~238달러(VAT별도)	2020-05-01	1	25	26
13	인텔 코어X-시리즈 i9-7940X (스카이레이크) 	인텔(소켓2066) / 스카레이크 / 14코어 / 쓰레드 28개 / 기본 클럭: 3.10GHz / 19.25MB / 64비트 / 설계전력: 165W / 메모리 규격: DDR4 / 메모리 버스: 2666MHz / 기술 지원: 하이퍼스레딩, 옵테인	2017-11-01	1	27	28
14	인텔 코어X-시리즈 i9-10940X (캐스케이드레이크) 	인텔(소켓2066) / 케스케이드레이크 / 14코어 / 쓰레드 28개 / 기본 클럭: 3.3GHz / 19.25MB / 설계전력: 165W / 메모리 규격: DDR4 / 메모리 버스: 2933MHz / PCIe 3.0 / 기술 지원: 하이퍼스레딩, 옵테인 / 출시가: 784~797달러(VAT별도)	2019-07-11	1	29	30
15	인텔 코어i3-8세대 8100 (커피레이크) 	인텔(소켓1151v2) / 커피레이크 / 쿼드(4)코어 / 쓰레드 4개 / 기본 클럭: 3.60GHz / 6MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2400MHz / 인텔 UHD 630 / 기술 지원: 옵테인	2017-10-01	1	31	32
16	AMD 라이젠7-1세대 1700 (서밋 릿지) 	AMD(소켓AM4) / 서밋 릿지 / 옥타(8) 코어 / 쓰레드 16개 / 기본 클럭: 3.0GHz / 4MB / 16MB / 설계전력: 65W / 메모리 규격: DDR4 / 64비트 / 기술 지원: XFR, SENSEMI / Wraith SPIRE 쿨러 포함	2017-02-01	1	33	34
17	인텔 코어i7-7세대 7700K (카비레이크) 	인텔(소켓1151) / 카비레이크 / 쿼드(4)코어 / 쓰레드 8개 / 기본 클럭: 4.2GHz / 8MB / 64비트 / 설계전력: 91W / 메모리 규격: DDR4 / DDR3L / 메모리 버스: 2400MHz / 인텔 HD 630 / 기술 지원: 하이퍼스레딩	2017-01-01	1	35	36
18	인텔 코어i5-7세대 7500 (카비레이크) 	인텔(소켓1151) / 카비레이크 / 쿼드(4)코어 / 쓰레드 4개 / 기본 클럭: 3.4GHz / 6MB / 64비트 / 설계전력: 65W / 메모리 규격: DDR4 / DDR3L / 메모리 버스: 2400MHz / 인텔 HD 630	2017-01-01	1	37	38
19	AMD 라이젠7-2세대 2700 (피나클 릿지) 	AMD(소켓AM4) / 피나클 릿지 / 옥타(8) 코어 / 쓰레드 16개 / 기본 클럭: 3.2GHz / 4MB / 16MB / 설계전력: 65W / 메모리 규격: DDR4 / 메모리 버스: 2933MHz / 64비트 / 기술 지원: XFR, SENSEMI / Wraith Spire (LED) 쿨러 포함	2018-04-01	1	39	40
20	인텔 펜티엄 G4560 (카비레이크) 	인텔(소켓1151) / 카비레이크 / 듀얼 코어 / 쓰레드 4개 / 기본 클럭: 3.5GHz / 3MB / 64비트 / 설계전력: 54W / 메모리 규격: DDR4 / DDR3L / 메모리 버스: 2133MHz / 인텔 HD 610 / 기술 지원: 하이퍼스레딩	2017-01-01	1	41	42
21	인텔 코어i3-7세대 7100 (카비레이크) 	인텔(소켓1151) / 카비레이크 / 듀얼 코어 / 쓰레드 4개 / 기본 클럭: 3.9GHz / 3MB / 64비트 / 설계전력: 51W / 메모리 규격: DDR4 / DDR3L / 메모리 버스: 2400MHz / 인텔 HD 630 / 기술 지원: 하이퍼스레딩	2017-01-01	1	43	44
