번호	인원수	호실	침대번호
1	1	101	1
2	1	102	1
3	1	103	1
4	1	104	1
5	1	105	1
6	1	106	1
7	1	107	1
8	1	108	1
9	1	109	1
10	1	110	1
11	2	201	1,2
12	2	202	1,2
13	2	203	1,2
14	2	204	1,2
15	2	205	1,2
16	2	206	1,2
17	2	207	1,2
18	2	208	1,2
19	2	209	1,2
20	2	210	1,2
21	3	301	1,2,3
22	3	302	1,2,3
23	3	303	1,2,3
24	3	304	1,2,3
25	3	305	1,2,3
26	3	306	1,2,3
27	3	307	1,2,3
28	3	308	1,2,3
29	4	401	1,2,3,4
30	4	402	1,2,3,4
31	4	403	1,2,3,4
32	4	404	1,2,3,4
33	4	405	1,2,3,4
34	4	406	1,2,3,4
35	4	407	1,2,3,4
36	4	408	1,2,3,4
37	5	501	1,2,3,4,5
38	5	502	1,2,3,4,5
39	5	503	1,2,3,4,5
40	5	504	1,2,3,4,5
41	5	505	1,2,3,4,5
42	5	506	1,2,3,4,5
43	6	601	1,2,3,4,5,6
44	6	602	1,2,3,4,5,6
45	6	603	1,2,3,4,5,6
46	6	604	1,2,3,4,5,6
47	6	605	1,2,3,4,5,6
48	6	606	1,2,3,4,5,6
