학생번호	과목코드	평점	특기사항
170001	S002	A	발표력이 뛰어남
170001	S003	C	
170001	S011		
170002	S001	A	발표력이 뛰어남
170002	S002	B	
170002	S023	C	과제 미제출
170003	S001		
170003	S003		
170003	S012	A	발표력이 뛰어남
170004	S001		
170004	S002	A	
170004	S012	A	
170005	S002		
170005	S003	A	
170005	S022	D	과제 미제출
170006	S001		
170006	S002		
170006	S023	A	발표력이 뛰어남
170007	S002	A	
170007	S003	F	과제 미제출 및 장기결석
170007	S021	B	
170008	S001		
170008	S002	A	
170008	S012		
170009	S001		
170009	S003	E	
170009	S022	A	
170010	S001	B	
170010	S002	A	발표력이 뛰어남
170010	S023	F	과제 미제출 및 장기결석
170101	S012	C	
170101	S013	B	발표력이 뛰어남
170101	S021	A	
170102	S003		
170102	S011	D	
170102	S012	B	
170103	S002	E	
170103	S012	C	
170103	S013		
170104	S002	B	
170104	S011	D	
170104	S012	D	
170105	S011	A	
170105	S013	A	
170105	S022	B	발표력이 뛰어남
170106	S003	C	
170106	S011		
170106	S012	C	
170107	S001	A	
170107	S011		
170107	S013	B	발표력이 뛰어남
170108	S002	B	
170108	S011	F	과제 미제출 및 장기결석
170108	S012	E	
170109	S012		
170109	S013	C	
170109	S022	D	과제 미제출
170110	S011	A	
170110	S012		
170110	S023	C	
170201	S002	A	발표력이 뛰어남
170201	S022		
170201	S023	A	
170202	S021	F	장기결석
170202	S022		
170203	S013	B	발표력이 뛰어남
170203	S022	C	
170203	S023	D	
170204	S021	B	
170205	S022	A	발표력이 뛰어남
170205	S023	A	발표력이 뛰어남
170206	S001	B	
170206	S021		
170206	S022	E	과제 미제출
170207	S002	C	
170207	S022	A	발표력이 뛰어남
170207	S023		
170208	S021	B	발표력이 뛰어남
170208	S022	B	
170209	S012	D	
170209	S022	A	발표력이 뛰어남
170209	S023	A	
170210	S013		
170210	S021	A	
170210	S022	A	발표력이 뛰어남
