r_no	r_title	r_content	r_sday	r_eday	r_terms
1	개인정보동의안내	안녕하십니까. 본교에서는 개인정보보호법 제15조에 따라 교육 활동에 필요한 학생 및 학부모의 개인정보를 수집 및 활용하기 위해 개인정보 수집·이용에 관한 동의를 받고자 합니다. 개인정보보호법에 관한 법률 시행으로 학교에서 사용하는 학생과 학부모의 개인정보에 대해 이용목적과 보유기간을 알리고, 정보 주체가 명확하게 인지할 수 있도록 각각의 동의사항을 구분하여 동의를 받고 있습니다. 수집 항목들에 대한 정보 이용 동의를 거부할 권리가 있음을 알려드리며 아울러 거부 시 해당 항목의 서비스가 제공되지 않는 제한 사항이 있음을 인지하시고, 빠짐없이 확인하신 후 서명해 주시기 바랍니다. 아울러, 아래 영역별 수집항목은 안내된 이용목적 이외의 용도로 활용되지 않으며, 보유기간 종료 시 즉시 파기하도록 하겠습니다.  	2020-09-10	2020-09-17	<학교생활기록부관리>1. 수집·이용목적 : 학생의 학업성취도 및 인성 등을 종합적으로 관찰·평가하여 학생지도 등을 위한 학교생활기록부 기록 및 관리2. 관련법 : 초·중등교육법 시행규칙 제21조(학교생활기록의 작성기준)3. 수집항목- [중·고] 인적사항(성명, 주민등록번호, 주소, 학부모 성명 및 생년월일), 학적사항, 출결상황, 수상경력, 진로희망사항, 창의적 체험활동상황, 교과학습발달상황, 독서활동상황, 행동특성 및 종합의견4. 보유기간 : 준영구<학생건강기록부 관리>1. 수집·이용목적 : 학생건강 보호·증진을 위한 건강검사 내용 기록 및 관리2. 관련법 : 학교보건법 제7의3(건강검사기록), 학교건강검사규칙 제9조(건강검사 결과의 관리)3. 수집항목 : 인적사항(성명, 주민등록번호, 혈액형, 보호자성명), 전염병예방접종이력, 건강검사실시현황(신체의 발달상황, 신체의 능력, 건강검진 현황, 별도검사 현황)4. 보유기간 : 졸업후 5년
2	졸업앨범 제작 안내 및 구입동의	하루가 다르게 따스해 지는 봄기운처럼 우리 학생 · 학부모님 · 가족 모두에게 건강과 행복이 가득하시기를 기원합니다. 우리학교에서는 3학년 학생들의 행복과 멋진 추억이 가득 담긴 졸업앨범을 제작과 관련해 다음과 같이 안내드리며, 학부모님들의 졸업앨범 제작/구입을 신청 받고자 합니다. 내용을 잘 살펴보시고 1.앨범구입 신청 여부와, 2. 개인정보 수집·이용 동의 여부를 결정하여 주시기 바랍니다.	2020-07-24	2020-07-31	<졸업앨범제작>1. 수집·이용목적 : 졸업앨범 제작 2. 수집항목 : 학생정보(사진, 학년,  반, 성명)3. 이용 및 보유기간 : 완성 앨범은 학교간행물로 영구 보관4. 미 동의시 제한 사항 : 졸업앨범 구매 및 사진 등재가 제한 될 수 있습니다.* 위 사항의 동의를 거부할 권리가 있으나, 졸업앨범 구매 및 사진 등재가 제한 될 수 있습니다.* 개인정보보호법 제26조에 따라 졸업앨범 제작업체가 확정되면 홈페이지 개인정보처리방침 또는 공지사항을 통해 공지할 예정이니 참고하시기 바랍니다.
3	소규모테마여행	본교에서는 교육과정의 일환으로 소규모테마형교육여행을 아래와 같이 실시하고자 계획하고 있습니다. 교육여행에 모든 학생들이 참가하여 체험의 폭을 넓히고 올바른 인성과 공동체의식을 함양하는 기회로 삼을 수 있도록 학부모님들의 많은 관심과 협조를 부탁드리며, 참가희망서는 9월 20일까지 제출하여 주시기 바랍니다. 	2020-09-01	2020-09-20	<소규모테마여행 및 수련활동>1. 수집·이용목적 : 수련활동 및 교육활동 여행자 보험 가입 관련2. 수집항목 : 학생정보(학년, 반, 번호, 이름, 연락처(휴대폰번호), 주민등록번호)3. 이용 및 보유기간 : 2020학년도 (2020. 3. 1 ~ 2021. 2. 28)4. 미 동의시 제한 사항 : 여행자 보험가입이 제한됩니다. 
4	정보월드 전일제 체험활동 안내	자녀 교육과 학교의 발전을 위해 따뜻한 관심과 정성을 다하시는 학부모님께 항상 깊은 감사드립니다. 본교는 학교에서 습득한 지식과 기능을 실제적 영역으로 확장하고 IT분야의 최신 기술 동향 파악을 위하여 정보월드 체험학습을 다음과 같이 계획하고 있습니다. 정보월드는 국가 IT산업 발전 전략의 일환으로 국내 모든 로봇전시회, 경진대회, 컨퍼런스가 통합한 국제적인 규모의 로봇전시회입니다.	2020-07-26	2020-08-02	<체험활동 관련 행사>1. 수집·이용목적 : 창의적 체험활동 행사 운영2. 수집항목 : 학교명, 학년, 반명, 번호, 성명, 연락처, 학부모 연락처, 개인 초상권3. 이용 및 보유기간 : 학생의 본교 재학 기간4. 미 동의시 제한 사항 : 학생의 행사 관련 공지 사항 제공 등에 불이익을 받을 수 있습니다.
5	하복 학교주관 공동구매	본교는 시대적 요구와 정부 정책에 따라 교복 학교 주관구매 업체를 선정하고 공동구매하도록 하여 학부모님들의 경제적 부담을 덜어드리고 있습니다. 원활한 하복공급을 위해 안내된 내용을 확인하시고 기한 내에 신청하시기 바랍니다. 구매를 원하시면 회신 부탁드립니다.	2020-05-27	2020-06-03	<구매 관련 비상연락망>1. 수집·이용목적 : 비상연락망 작성2. 수집항목 : 학생성명, 학생 휴대 전화번호, 학부모휴대 전화번호3. 이용 및 보유기간 : 학생의 본교 재학 기간4. 미 동의시 제한 사항 : 비상연락이 제한될 수 있습니다.
6	인증제 점수 변경 동의	항상 학교 교육활동에 많은 관심과 지원을 보내주시는 학부모님께 감사드립니다. 졸업생 배출과 더불어 기존 인증제 평가기준과 관련하여 높은 등급기준과 학교별 다른 기준으로 객관성을 얻기가 어려워 인증제와 관련된 문제점이 나타났습니다. 이를 보완하기 위한 작업으로 인증제 심의위원회에서 검토/수정 결과 개정된 인증제 평가기준이 수립하고자 합니다. 이에 대한 의견을 회신부탁드립니다. 	2020-09-12	2020-09-30	<인증제 개인정보동의>1. 수집·이용목적 : 인증제 점수 발행2. 수집항목 : 학년, 반명, 번호, 성명, 주소3. 이용 및 보유기간 : 학생의 본교 재학 기간4. 미 동의시 제한 사항 : 졸업 인증 관련 불이익을 받을 수 있습니다. 
7	학생 건강실태 조사 	학생 건강실태 조사 결과는 학생건강관리 및 생활지도를 위한 중요한 자료로 이용됩니다. 무엇보다 최근 세계적으로 유행인 코로나 19 감염을 예방하고, 미세먼지로부터 기저질환이 있는 학생을 먼저 보호하고, 건강상 어려움이 있는 학생의 각종 안전사고 예방과 교외 학습활동에 불편함이 없도록 적극적으로 배려하고자 합니다. 특히 신체상 각별한 보호가 필요한 학생의 경우는 학교에서 특별 제작한 '확인증'을 발급하여, 위급한 경우에 타인에게 제시하여 자신을 보호하도록 하고 있습니다. 필요시 담임교사 또는 보건 교사에게 요청하면 상담 후 발급받을 수 있습니다.	2020-08-16	2020-08-22	수집되는 개인정보는 「개인정보보호법」에 따라 보호되며, 동 법률에 따라 수집∙이용 동의가 필요합니다.<학생증 제작>1. 수집·이용목적 : 학생증 제작2. 수집항목 : 성명, 학교명, 사진, 생년월일3. 이용 및 보유기간 : 학생의 본교 재학 기간4. 미 동의시 제한 사항 :학생증 발급이 제한될 수 있습니다. 
8	방과후학교 강좌 개설을 위한 동의	2020학년도 방과후학교를 보다 내실 있고 효과적으로 운영하기 위해 수요조사를 실시하고자 합니다. 학부모님과 학생이 함께 방과후학교 참여를 희망여부를 9월 20일까지 응답하여 주시기 바라며, 응답 결과는 학교홈페이지에 게시하도록 하겠습니다. 항상 학교 교육활동에 많은 관심과 지원을 보내주시는 학부모님께 감사드립니다. 	2020-09-17	2020-09-20	<방과후학교>1. 수집·이용목적 : 방과후학교 강좌 운영 2. 수집항목 : 학교명, 학년, 반명, 번호, 성명, 연락처, 학부모 연락처3. 이용 및 보유기간 : 학생의 본교 재학 기간4. 미 동의시 제한 사항 : 학생의 방과후학교 공지 사항 제공 등에 불이익을 받을 수 있습니다.
9	급식운영을 위한 조사	한 해가 마무리되는 요즘 개인이나 가정에서 한 해를 정리하며 새해를 준비하듯 학교도 2019학년도 학사 운영을 정리하고 2021학년도를 준비하고 있습니다, 지난 2020.8.20.~8.25. 기숙사 주말 운영을 위한 설문 조사를 실시하였고, 그 결과 2021학년도에도 월 1회 의무퇴소하는 것으로 결정하였습니다. <※대상 1, 2학년 응답자 91명 중 1회 퇴소(51명), 2회 퇴소(22명), 매주 퇴소(18명)> 따라서 기숙사 운영과 관련하여 2021학년도 주말 급식 운영을 위한 조사를 아래와 같이 실시합니다. 본 조사 결과에 따라 2021학년도 기숙사 주말 급식 운영이 결정된다는 점에 유념하시어 참고 사항을 읽어 보신 후 해당란에 체크 하여 기한 내 제출하여 주시기 바랍니다.	2020-09-12	2020-09-22	<기숙사운영>1. 수집·이용목적 : 기숙사 입소학생 비상연락망 작성2. 수집항목 : 학생정보(학년, 반, 번호, 이름, 연락처(집․휴대폰번호), 주소) 학부모정보(이름, 휴대폰번호)3. 이용 및 보유기간 : 기숙사 입소 기간 4. 미 동의시 제한 사항 : 비상연락 및 기숙사 정보제공이 제한 됩니다.
10	위탁교육 안내 	가정에 행복과 평안이 가득하시길 기원합니다. 항상 학교 교육활동에 많은 관심과 지원을 보내주시는 학부모님께 감사드립니다. 본교에서는 다음과 같이 학생 전문 기술 향상을 위해 대학 및 연구소등 외부 전문기관에 학생 위탁교육을 실시하고자 합니다. 위탁교육 관련 내용을 안내하오니 이에 참가하고자 하는 학생 및 학부모님 동의를 구하고자 합니다. 	2020-09-19	2020-09-26	<위탁교육 동의>1. 수집·이용목적 : 학생 및 학부모의 학교활동(행사) 사진 및 동영상 홈페이지 게시 2. 수집항목 : 학생 및 학부모 정보(학교활동(행사) 사진 및 동영상 등)3. 이용 및 보유기간 : 홈페이지 게시 후 5년까지 이용
