re_no	m_no	r_no	re_whether
1	2	6	2
2	8	4	1
3	9	7	2
4	10	7	2
5	3	6	2
6	3	2	2
7	4	6	1
8	10	1	2
9	3	8	1
10	10	6	1
11	5	7	2
12	8	8	2
13	7	8	2
14	5	5	2
15	1	6	1
16	4	8	2
17	1	9	2
18	5	3	2
19	1	1	2
20	9	8	1
21	8	2	1
22	6	3	1
23	3	7	2
24	9	9	2
25	1	8	1
26	4	2	1
27	6	2	1
28	7	7	1
29	3	4	2
30	2	2	2
31	5	6	2
32	1	3	1
33	6	4	1
34	7	2	2
35	4	9	2
36	5	1	1
37	8	1	2
38	3	10	2
39	10	3	2
40	3	1	2
41	7	1	2
42	6	8	2
43	6	5	1
44	6	6	1
45	10	4	1
46	6	7	1
47	4	5	2
48	8	6	1
49	5	2	2
50	5	4	1
51	10	2	1
52	1	7	2
53	2	5	1
54	7	6	1
55	3	9	2
56	9	3	2
57	8	5	2
58	2	7	2
59	1	5	2
60	6	1	1
61	3	5	1
62	2	3	2
63	8	10	1
64	5	8	1
65	9	5	1
66	8	3	2
67	3	3	2
68	7	3	2
69	6	10	1
70	1	4	2
71	7	9	1
72	8	7	1
73	10	10	1
74	4	7	2
75	9	10	1
76	8	9	1
77	6	9	2
78	1	11	1
