pu_no	p_no	p_price	pu_count	pu_totalprice	u_no
1	39	8000	3	24000	1
2	42	8000	5	40000	2
3	43	8000	2	16000	3
4	47	8000	3	24000	4
5	41	8000	2	16000	5
6	38	8000	3	24000	6
7	39	8000	2	16000	7
8	40	8000	7	56000	8
9	41	8000	10	80000	9
10	42	8000	5	40000	10
11	43	8000	4	32000	11
12	44	8000	2	16000	12
13	45	8000	5	40000	13
14	46	8000	12	96000	14
15	47	8000	7	56000	15
16	20	3000	6	18000	16
17	21	4000	3	12000	17
18	22	3000	7	21000	18
19	23	4000	9	36000	19
20	24	2000	4	8000	20
21	25	6000	5	30000	21
22	26	3000	8	24000	22
23	26	3000	2	6000	23
24	27	7000	4	28000	24
25	37	8000	13	104000	25
26	28	3000	9	27000	26
27	35	5000	7	35000	27
28	32	6000	8	48000	28
29	1	33800	5	169000	29
30	2	10000	2	20000	30
31	3	73950	6	443700	1
32	4	23100	8	184800	2
33	5	15500	9	139500	3
34	6	25500	10	255000	4
35	9	14500	9	130500	5
36	18	18900	12	226800	6
37	14	20000	3	60000	7
38	13	12000	12	144000	8
39	48	28000	3	84000	9
40	49	30000	6	180000	10
41	50	30000	7	210000	11
42	51	53000	13	689000	12
43	52	53000	6	318000	13
44	53	60000	9	540000	14
45	55	15000	24	360000	15
46	56	40000	6	240000	16
47	57	3000	21	63000	17
48	54	20000	5	100000	18
49	39	8000	3	24000	19
50	42	8000	5	40000	20
51	43	8000	2	16000	21
52	47	8000	3	24000	22
53	41	8000	2	16000	23
54	38	8000	3	24000	24
55	39	8000	2	16000	25
56	40	8000	7	56000	26
57	41	8000	10	80000	27
58	42	8000	5	40000	28
59	43	8000	4	32000	29
60	44	8000	2	16000	30
61	45	8000	5	40000	1
62	46	8000	12	96000	2
63	47	8000	7	56000	3
64	20	3000	6	18000	4
65	21	4000	3	12000	5
66	22	3000	7	21000	6
67	23	4000	9	36000	7
68	24	2000	4	8000	8
69	25	6000	5	30000	9
70	26	3000	8	24000	10
71	26	3000	2	6000	11
72	27	7000	4	28000	12
73	37	8000	13	104000	13
74	28	3000	9	27000	14
75	35	5000	7	35000	15
76	32	6000	8	48000	16
77	1	33800	5	169000	17
78	2	10000	2	20000	18
79	3	73950	6	443700	19
80	4	23100	8	184800	20
81	5	15500	9	139500	21
82	6	25500	10	255000	22
83	9	14500	9	130500	23
84	18	18900	12	226800	24
85	14	20000	3	60000	25
86	13	12000	12	144000	26
87	48	28000	3	84000	27
88	49	30000	6	180000	28
89	50	30000	7	210000	29
90	51	53000	13	689000	30
91	52	53000	6	318000	1
92	53	60000	9	540000	2
93	55	15000	24	360000	3
94	56	40000	6	240000	4
95	57	3000	21	63000	5
96	54	20000	5	100000	6
97	39	8000	3	24000	7
98	42	8000	5	40000	8
99	43	8000	2	16000	9
100	47	8000	3	24000	10
101	41	8000	2	16000	11
102	38	8000	3	24000	12
103	39	8000	2	16000	13
104	40	8000	7	56000	14
105	41	8000	10	80000	15
106	42	8000	5	40000	16
107	43	8000	4	32000	17
108	44	8000	2	16000	18
109	45	8000	5	40000	19
110	46	8000	12	96000	20
111	47	8000	7	56000	21
112	20	3000	6	18000	22
113	21	4000	3	12000	23
114	22	3000	7	21000	24
115	23	4000	9	36000	25
116	24	2000	4	8000	26
117	25	6000	5	30000	27
118	26	3000	8	24000	28
119	26	3000	2	6000	29
120	27	7000	4	28000	30
121	37	8000	13	104000	1
122	28	3000	9	27000	2
123	35	5000	7	35000	3
124	32	6000	8	48000	4
125	1	33800	5	169000	5
126	2	10000	2	20000	6
127	3	73950	6	443700	7
128	4	23100	8	184800	8
129	5	15500	9	139500	9
130	6	25500	10	255000	10
131	9	14500	9	130500	11
132	18	18900	12	226800	12
133	14	20000	3	60000	13
134	13	12000	12	144000	14
135	48	28000	3	84000	15
136	49	30000	6	180000	16
137	50	30000	7	210000	17
138	51	53000	13	689000	18
139	52	53000	6	318000	19
140	53	60000	9	540000	20
141	55	15000	24	360000	21
142	56	40000	6	240000	22
143	57	3000	21	63000	23
144	54	20000	5	100000	24
145	52	53000	6	318000	25
146	53	60000	9	540000	26
147	55	15000	24	360000	27
148	56	40000	6	240000	28
149	57	3000	21	63000	29
150	54	20000	5	100000	30
151	37	8000	13	104000	1
152	28	3000	9	27000	2
153	35	5000	7	35000	3
154	32	6000	8	48000	4
155	1	33800	5	169000	5
156	2	10000	2	20000	6
157	3	73950	6	443700	7
158	4	23100	8	184800	8
159	5	15500	9	139500	9
160	6	25500	10	255000	10
161	9	14500	9	130500	11
162	18	18900	12	226800	12
163	14	20000	3	60000	13
164	13	12000	12	144000	14
165	48	28000	3	84000	15
166	49	30000	6	180000	16
167	50	30000	7	210000	17
168	51	53000	13	689000	18
169	52	53000	6	318000	19
170	53	60000	9	540000	20
171	55	15000	24	360000	21
172	56	40000	6	240000	22
173	57	3000	21	63000	23
174	54	20000	5	100000	24
175	52	53000	6	318000	25
176	53	60000	9	540000	26
177	55	15000	24	360000	27
178	56	40000	6	240000	28
179	57	3000	21	63000	29
180	54	20000	5	100000	30
181	37	8000	13	104000	1
182	28	3000	9	27000	2
183	35	5000	7	35000	3
184	32	6000	8	48000	4
185	1	33800	5	169000	5
186	2	10000	2	20000	6
187	3	73950	6	443700	7
188	4	23100	8	184800	8
189	5	15500	9	139500	9
190	6	25500	10	255000	10
191	9	14500	9	130500	11
192	18	18900	12	226800	12
193	14	20000	3	60000	13
194	13	12000	12	144000	14
195	48	28000	3	84000	15
196	49	30000	6	180000	16
197	50	30000	7	210000	17
198	51	53000	13	689000	18
199	52	53000	6	318000	19
200	53	60000	9	540000	20
201	55	15000	24	360000	21
202	56	40000	6	240000	22
203	57	3000	21	63000	23
204	54	20000	5	100000	24
205	52	53000	6	318000	25
206	53	60000	9	540000	26
207	55	15000	24	360000	27
208	56	40000	6	240000	28
209	57	3000	21	63000	29
210	54	20000	5	100000	30
211	58	3200	5	16000	1
212	59	3200	64	204800	1
213	60	1000	23	23000	1
214	61	8500	42	357000	1
215	63	8000	53	424000	1
216	58	3200	2	6400	1
217	62	5000	2	10000	1
218	60	1000	3	3000	1
219	68	3000	12	36000	1
220	69	6000	21	126000	1
221	70	6000	6	36000	1
222	70	6000	6	36000	1
223	71	13000	7	91000	1
224	72	3200	10	32000	1
225	73	4000	12	48000	1
226	79	8000	34	272000	1
227	79	8000	2	16000	1
228	80	1000	3	3000	1
229	81	2000	5	10000	1
230	82	2000	6	12000	1
231	83	11000	12	132000	1
232	92	10000	3	30000	1
233	88	2300	12	27600	1
234	89	5000	23	115000	1
235	93	10000	32	320000	1
236	90	80000	3	240000	1
237	91	70000	4	280000	1
238	67	12000	100	1200000	1
