serial	user	product	seller	rating
1	3	38	1	2
2	1	44	2	5
3	10	41	4	4
4	14	11	8	5
5	11	13	7	2
6	13	22	5	1
7	9	13	3	4
8	1	29	3	3
9	4	15	2	1
10	16	36	5	2
11	13	3	1	2
12	6	21	7	2
13	6	36	7	5
14	11	41	7	5
15	5	38	4	5
16	3	37	7	1
17	4	17	1	4
18	1	15	9	1
19	13	41	7	2
20	8	2	6	5
21	4	19	7	1
22	6	40	4	1
23	5	23	2	2
24	11	26	7	1
25	14	30	3	2
26	14	5	6	4
27	13	8	1	2
28	10	40	6	4
29	3	40	9	5
30	4	28	4	4
31	11	45	1	4
32	8	22	1	4
33	6	27	3	2
34	16	13	1	4
35	3	4	6	3
36	14	45	6	1
37	14	42	6	4
38	6	45	6	3
39	15	40	4	2
40	8	1	6	3
41	12	8	7	4
42	6	42	8	4
43	9	2	4	1
44	12	16	5	4
45	3	36	2	2
46	1	3	2	1
47	11	46	7	3
48	15	18	4	1
49	13	31	2	3
50	14	4	9	1
51	11	1	5	5
52	13	15	6	4
53	8	28	7	1
54	1	16	1	2
55	10	34	6	3
56	4	34	2	1
57	2	37	5	3
58	3	43	1	4
59	8	38	3	2
60	5	3	5	5
61	3	7	8	5
62	10	2	6	4
63	12	43	9	2
64	7	11	6	1
65	1	34	9	3
66	2	44	3	2
67	7	26	6	5
68	10	24	5	5
69	5	17	4	4
70	9	46	8	5
71	13	25	4	4
72	13	47	4	2
73	13	30	1	5
74	7	2	7	4
75	12	10	7	5
76	4	25	4	4
77	11	7	2	1
78	6	25	1	5
79	7	17	1	5
80	10	45	6	2
81	8	2	6	1
82	11	38	5	4
83	10	27	8	3
84	13	14	1	2
85	7	4	5	4
86	6	32	5	4
87	9	7	2	4
88	16	8	6	1
89	16	28	3	1
90	9	14	7	1
91	1	13	7	5
92	14	3	2	4
93	3	35	9	5
94	4	34	2	4
95	15	17	1	2
96	9	41	1	1
97	2	42	7	2
98	15	44	4	4
99	13	24	3	1
100	11	24	4	3
101	6	39	1	1
102	16	16	5	5
103	11	41	9	1
104	2	44	8	3
105	1	46	9	5
106	11	9	7	2
107	6	17	4	2
108	3	47	6	1
109	13	22	4	5
110	11	45	9	4
111	14	5	2	4
112	11	40	9	4
113	10	33	8	1
114	7	21	6	3
115	3	11	3	4
116	1	41	7	3
117	1	27	8	4
118	12	44	6	1
119	4	47	3	4
120	4	16	3	1
121	10	42	2	2
122	14	6	7	5
123	3	45	4	5
124	11	26	9	2
125	13	25	7	4
126	5	18	2	5
127	12	30	2	4
128	9	6	5	2
129	12	45	9	2
130	1	26	6	3
131	8	6	6	2
132	2	31	2	5
133	5	41	3	5
134	8	25	5	1
135	12	12	7	5
136	2	34	3	4
137	7	48	9	1
138	6	27	3	2
139	7	40	3	5
140	13	32	7	5
141	10	38	1	3
142	5	31	5	5
143	4	31	4	1
144	10	25	1	3
145	15	49	6	5
146	14	17	8	3
147	8	7	1	1
148	16	46	5	2
149	9	31	7	4
150	7	12	2	4
151	2	26	1	5
152	1	25	1	2
153	7	36	1	1
154	8	26	8	4
155	7	19	7	3
156	11	41	7	5
157	6	25	7	4
158	13	13	9	3
159	12	13	7	4
160	7	36	9	1
161	7	23	5	4
162	1	34	2	2
163	1	24	4	1
164	15	27	3	4
165	12	21	4	1
166	7	7	5	4
167	9	7	3	5
168	3	44	5	1
169	11	37	4	4
170	12	36	2	5
171	9	1	3	4
172	9	36	1	1
173	12	39	5	2
174	7	10	4	4
175	16	29	8	3
176	12	46	9	1
177	8	10	8	4
178	3	2	7	4
179	14	22	2	5
180	2	17	3	1
181	3	14	1	5
182	9	17	2	4
183	13	34	9	1
184	12	15	7	4
185	8	13	7	4
186	13	44	7	1
187	6	46	2	5
188	12	44	6	2
189	1	9	2	1
190	2	11	2	2
191	6	13	5	3
192	10	41	4	3
193	12	46	9	5
194	4	32	3	4
195	4	41	3	5
196	11	34	6	1
197	13	40	6	2
198	1	27	2	3
199	15	9	2	5
200	14	44	7	2
