serial	seller	product	count	price
1 	1 	38	25	164200
2 	1 	40	84	250800
3 	1 	12	94	312000
4 	1 	65	40	215800
5 	1 	118	70	63900
6 	1 	57	88	54900
7 	1 	140	43	180600
8 	1 	17	11	501000
9 	1 	144	23	93700
10 	1 	9	57	295000
11 	1 	103	25	67800
12 	1 	106	19	100300
13 	1 	23	59	1068900
14 	1 	90	43	918300
15 	1 	135	100	167300
16 	1 	71	67	361600
17 	1 	79	52	743100
18 	1 	115	25	39700
19 	1 	54	72	67300
20 	1 	1	98	241000
21 	1 	92	69	41700
22 	1 	26	29	529600
23 	1 	57	46	134200
24 	1 	44	15	172200
25 	1 	6	21	196100
26 	1 	120	11	91300
27 	1 	67	55	226800
28 	1 	12	100	278300
29 	1 	29	85	828300
30 	1 	146	37	141600
31 	1 	60	98	180100
32 	1 	20	25	489600
33 	1 	101	13	124300
34 	1 	114	52	37000
35 	1 	65	58	100300
36 	1 	69	44	361100
37 	1 	150	24	11400
38 	1 	45	4	130000
39 	1 	16	42	391900
40 	1 	46	25	158100
41 	1 	98	57	161200
42 	1 	73	4	340600
43 	1 	46	35	188100
44 	1 	109	91	61100
45 	1 	3	93	484900
46 	1 	38	52	227500
47 	1 	62	65	200000
48 	1 	6	39	196200
49 	1 	38	9	185900
50 	1 	21	71	1630000
51 	1 	23	17	981200
52 	1 	5	8	326800
53 	1 	9	36	263100
54 	1 	16	48	256600
55 	1 	25	79	211900
56 	1 	132	6	49100
57 	1 	8	33	145400
58 	1 	25	30	341800
59 	1 	146	82	118000
60 	1 	38	97	223700
61 	1 	122	67	83000
62 	1 	64	49	394400
63 	1 	19	87	246000
64 	1 	76	33	388600
65 	1 	111	3	153800
66 	1 	26	74	661300
67 	1 	100	10	223800
68 	2 	112	12	72500
69 	2 	82	42	731100
70 	2 	78	90	355900
71 	2 	27	89	259200
72 	2 	101	10	102900
73 	2 	48	13	287000
74 	2 	6	38	257300
75 	2 	2	45	287800
76 	2 	20	67	358900
77 	2 	36	83	207500
78 	2 	9	36	315000
79 	2 	65	6	203700
80 	2 	91	48	153700
81 	2 	35	76	140300
82 	2 	19	97	198700
83 	2 	94	16	339100
84 	2 	94	71	363100
85 	2 	72	1	650100
86 	2 	94	52	425100
87 	2 	53	97	266100
88 	2 	97	59	129500
89 	2 	9	65	315500
90 	2 	77	50	479400
91 	2 	42	73	126000
92 	2 	98	95	184500
93 	2 	135	51	45400
94 	2 	87	22	343200
95 	2 	59	38	132600
96 	2 	19	17	162700
97 	2 	47	68	250100
98 	2 	141	14	97000
99 	2 	32	60	220300
100 	2 	80	78	586700
101 	2 	91	59	187700
102 	2 	13	41	1931100
103 	2 	57	59	111900
104 	2 	75	19	763800
105 	2 	63	64	169500
106 	2 	63	14	215500
107 	2 	52	40	152200
108 	2 	67	100	255600
109 	2 	126	99	72600
110 	2 	106	63	94900
111 	2 	129	40	48000
112 	2 	5	23	349800
113 	2 	60	14	149300
114 	2 	103	17	112000
115 	2 	22	0	497300
116 	2 	119	63	55400
117 	2 	12	90	335900
118 	2 	93	66	224500
119 	2 	143	44	269900
120 	2 	59	71	173600
121 	2 	26	39	648700
122 	2 	38	11	128000
123 	2 	125	29	12500
124 	2 	129	28	75400
125 	2 	41	82	227200
126 	3 	69	51	238300
127 	3 	36	81	58300
128 	3 	30	90	291200
129 	3 	10	65	667300
130 	3 	105	39	6300
131 	3 	42	39	157200
132 	3 	124	37	136000
133 	3 	138	1	94600
134 	3 	132	61	74500
135 	3 	100	56	149500
136 	3 	84	8	590000
137 	3 	93	6	132000
138 	3 	125	76	74700
139 	3 	92	74	37700
140 	3 	11	9	484400
141 	3 	66	21	208200
142 	3 	62	54	223200
143 	3 	63	79	191200
144 	3 	5	90	461600
145 	3 	142	37	41000
146 	3 	39	38	229000
147 	3 	135	96	105800
148 	3 	148	71	321400
149 	3 	141	17	70800
150 	3 	104	0	135600
151 	3 	35	72	100500
152 	3 	98	6	78900
153 	3 	24	95	378300
154 	3 	148	44	249900
155 	3 	47	23	274100
156 	3 	25	32	230200
157 	3 	150	71	130900
158 	3 	132	14	47900
159 	3 	56	88	177700
160 	3 	82	15	597400
161 	3 	41	82	245700
162 	3 	20	66	377000
163 	3 	93	43	163900
164 	3 	91	82	106900
165 	3 	27	88	313800
166 	3 	144	12	69000
167 	3 	122	61	121000
168 	3 	60	26	174100
169 	3 	90	23	923600
170 	3 	11	98	443600
171 	3 	147	81	40500
172 	3 	10	13	686400
173 	3 	85	60	553500
174 	3 	65	65	96200
175 	3 	36	85	192000
176 	3 	64	13	366200
177 	3 	67	64	178400
178 	3 	51	68	98300
179 	3 	15	15	208600
180 	3 	140	63	101500
181 	4 	106	86	156200
182 	4 	28	73	629100
183 	4 	10	90	540300
184 	4 	95	70	97100
185 	4 	102	84	45100
186 	4 	115	47	82300
187 	4 	34	19	106000
188 	4 	95	76	139300
189 	4 	6	3	294500
190 	4 	104	82	62500
191 	4 	59	47	161100
192 	4 	138	35	141400
193 	4 	33	31	181000
194 	4 	9	16	248700
195 	4 	3	29	581000
196 	4 	21	30	1559200
197 	4 	82	20	633900
198 	4 	100	13	218700
199 	4 	107	31	177900
200 	4 	29	41	823700
201 	4 	12	44	305500
202 	4 	18	34	139800
203 	4 	77	42	478800
204 	4 	65	13	151800
205 	4 	57	84	176900
206 	4 	120	66	16900
207 	4 	126	58	160400
208 	4 	114	31	101400
209 	4 	83	65	429900
210 	4 	107	45	202100
211 	4 	103	36	157400
212 	4 	14	45	1240500
213 	4 	69	47	237600
214 	4 	110	79	42400
215 	4 	128	100	89400
216 	4 	134	6	134600
217 	4 	111	90	130000
218 	4 	122	73	25900
219 	4 	33	50	146500
220 	5 	55	47	211500
221 	5 	127	20	16600
222 	5 	124	43	182400
223 	5 	12	75	277300
224 	5 	23	99	999900
225 	5 	9	12	263700
226 	5 	55	55	190500
227 	5 	111	51	157300
228 	6 	105	13	151900
229 	6 	45	45	40300
230 	6 	45	59	137300
231 	6 	141	67	110800
232 	6 	45	45	141600
233 	6 	118	94	28800
234 	6 	105	99	82100
235 	6 	26	46	612000
236 	6 	94	66	335500
237 	6 	113	17	357900
238 	6 	64	48	350500
239 	6 	14	51	1277600
240 	6 	63	51	154000
241 	6 	36	53	141400
242 	6 	129	31	145100
243 	6 	80	71	528500
244 	6 	104	13	145500
245 	6 	5	3	347200
246 	6 	65	70	200000
247 	6 	141	81	84000
248 	6 	81	51	459300
249 	6 	17	47	520000
250 	6 	56	87	229800
251 	6 	82	80	623500
252 	6 	90	49	807400
253 	6 	109	86	111300
254 	7 	62	2	128300
255 	7 	118	66	122000
256 	7 	129	44	52200
257 	7 	145	85	109100
258 	7 	81	8	535100
259 	7 	47	49	172700
260 	7 	112	43	107900
