구매번호	구매일자	회원번호	메뉴번호	분류	사이즈	가격	수량	합계
1	2019-02-03	9	4	음료	M	5000	2	10000
2	2019-02-11	4	15	푸드	L	7000	4	28000
3	2019-02-11	1	7	음료	M	5800	3	17400
4	2019-02-12	10	5	음료	L	6500	5	32500
5	2019-02-12	6	15	푸드	L	6500	1	6500
6	2019-02-13	10	24	상품		38000	2	76000
7	2019-02-13	6	18	푸드	L	7500	3	22500
8	2019-02-14	4	19	푸드	M	7500	2	15000
9	2019-02-14	1	18	푸드	M	5500	4	22000
10	2019-02-15	11	20	푸드	M	7000	3	21000
11	2019-02-15	10	17	푸드	L	7500	2	15000
12	2019-02-15	5	24	상품		38000	4	152000
13	2019-02-16	15	20	푸드	L	8000	4	32000
14	2019-02-19	10	26	상품		45000	3	135000
15	2019-02-19	6	15	푸드	M	6000	4	24000
16	2019-02-19	5	6	음료	M	5000	4	20000
17	2019-02-19	5	8	음료	L	7000	6	42000
18	2019-02-19	1	3	음료	M	4500	1	4500
19	2019-02-19	1	23	상품		20000	1	20000
20	2019-02-19	12	17	푸드	M	6500	6	39000
21	2019-02-20	11	11	푸드	L	8000	1	8000
22	2019-02-20	11	13	푸드	L	7500	2	15000
23	2019-02-20	10	29	상품		62000	3	186000
24	2019-02-20	3	14	푸드	L	7000	6	42000
25	2019-02-21	11	26	상품		45000	2	90000
26	2019-02-21	7	1	음료	M	5500	6	33000
27	2019-02-22	5	11	푸드	L	8000	1	8000
28	2019-02-22	15	1	음료	M	5500	4	22000
29	2019-02-22	4	15	푸드	M	6000	6	36000
30	2019-02-24	12	26	상품		45000	3	135000
31	2019-02-24	11	23	상품		20000	4	80000
32	2019-02-24	7	10	음료	M	6500	2	13000
33	2019-02-24	13	9	음료	M	6000	4	24000
34	2019-02-24	8	7	음료	L	6800	1	6800
35	2019-02-25	4	15	푸드	M	6000	5	30000
36	2019-02-26	11	30	상품		45000	3	135000
37	2019-02-26	13	30	상품		45000	2	90000
38	2019-02-26	5	6	음료	M	5000	4	20000
39	2019-02-26	15	19	푸드	M	7500	5	37500
40	2019-02-27	2	22	상품		7700	2	15400
41	2019-02-27	10	17	푸드	L	7500	2	10500
42	2019-02-27	15	18	푸드	L	6500	6	39000
43	2019-02-28	2	1	음료	L	6500	6	39000
44	2019-02-29	6	8	음료	L	7000	6	42000
45	2019-02-29	4	18	푸드	M	5500	2	11000
46	2019-02-30	7	10	음료	M	6500	4	26000
47	2019-02-30	4	18	푸드	L	6500	2	13000
48	2019-03-03	7	13	푸드	M	6500	2	13000
49	2019-03-03	15	25	상품		35000	4	140000
50	2019-03-03	8	29	상품		62000	4	248000
51	2019-03-11	7	29	상품		62000	4	248000
52	2019-03-11	15	10	음료	L	7500	2	15000
53	2019-03-11	8	30	상품		45000	1	45000
54	2019-03-12	6	22	상품		7700	4	30800
55	2019-03-12	5	15	푸드	M	6000	1	6000
56	2019-03-12	3	24	상품		38000	3	114000
57	2019-03-12	3	19	푸드	M	7500	4	30000
58	2019-03-13	3	13	푸드	L	7500	4	30000
59	2019-03-14	10	18	푸드	M	5500	5	19250
60	2019-03-14	8	26	상품		45000	2	90000
61	2019-03-14	8	6	음료	M	5000	6	21000
62	2019-03-14	1	24	상품		38000	4	152000
63	2019-03-15	10	24	상품		38000	3	114000
64	2019-03-15	6	22	상품		7700	1	7700
65	2019-03-15	8	30	상품		45000	1	31500
66	2019-03-16	10	24	상품		38000	1	19000
67	2019-03-17	6	8	음료	L	7000	6	42000
68	2019-03-17	1	8	음료	M	6000	2	12000
69	2019-03-17	1	12	푸드	L	7500	1	7500
70	2019-03-17	5	24	상품		38000	4	152000
71	2019-03-17	5	22	상품		7700	1	5390
72	2019-03-18	13	13	푸드	L	7500	3	22500
73	2019-03-18	5	17	푸드	L	7500	3	15750
74	2019-03-18	9	14	푸드	L	7000	2	14000
75	2019-03-18	8	27	상품		60000	4	240000
76	2019-03-20	11	2	음료	L	7500	3	21825
77	2019-03-20	6	12	푸드	L	8500	6	51000
78	2019-03-20	9	11	푸드	L	8000	5	40000
79	2019-03-20	3	13	푸드	M	6500	3	19500
80	2019-03-20	1	7	음료	M	5800	1	5800
81	2019-03-21	2	12	푸드	M	7500	1	7500
82	2019-03-21	5	21	상품		25000	4	100000
83	2019-03-21	8	25	상품		35000	3	73500
84	2019-03-22	6	21	상품		25000	2	50000
85	2019-03-22	1	5	음료	L	6500	2	13000
86	2019-03-24	13	20	푸드	M	7000	4	28000
87	2019-03-24	3	26	상품		45000	1	45000
88	2019-03-25	11	11	푸드	L	8000	2	15520
89	2019-03-25	7	12	푸드	M	7500	1	7275
90	2019-03-25	15	24	상품		38000	4	152000
91	2019-03-25	15	29	상품		62000	4	173600
92	2019-03-25	15	24	상품		38000	1	19000
93	2019-03-25	1	9	음료	M	6000	5	30000
94	2019-03-26	9	8	음료	M	6000	4	24000
95	2019-04-01	4	25	상품		35000	2	70000
96	2019-04-01	4	12	푸드	M	7500	4	30000
97	2019-04-01	3	23	상품		20000	4	80000
98	2019-04-01	14	17	푸드	L	7500	3	22500
99	2019-04-01	2	7	음료	M	5800	6	34800
100	2019-04-02	6	25	상품		35000	3	105000
101	2019-04-02	5	4	음료	L	6000	2	6000
102	2019-04-02	6	29	상품		62000	3	130200
103	2019-04-02	6	4	음료	M	5000	1	3500
104	2019-04-02	15	9	음료	M	6000	1	3000
